"RT","SERIALNO","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","CITWP","COW","ENG","FER","GCL","GCM","GCR","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","VPS","WAOB","Class"
"P","2023HU0409699",1,2,1003,1,25,1019518,54,1,NA,NA,NA,NA,2,NA,NA,0,2,2,1,2,1,2,2,1500,NA,NA,NA,2,1,2,2,2,2,1984,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,1500,1,NA,20,0,2,0,11000,0,NA,NA,2,NA,1,51,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,4,0,14000,25,400,NA,NA,1,1,1,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0116309",1,1,704,1,25,1019518,71,1,NA,7,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,NA,NA,11,2,1,2,2,1,2,2000,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,22,423000,2,0,0,280000,45,52,1,NA,2,94,22,NA,NA,NA,1,6203,NA,1,1,7390,NA,NA,NA,NA,NA,1,1,NA,0,710,4,703000,703000,25,501,700,25,1,2,2,1,1000,1,0,0,0,0,1,0,0,1,0,2,2,NA,NA,NA,1,"No"
"P","2023GQ0089707",1,1,605,1,25,1019518,22,1,NA,NA,NA,NA,2,NA,NA,0,2,2,1,1,2,2,2,0,NA,NA,NA,2,2,2,2,1,2,1972,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,13600,1,NA,16,0,2,0,9600,0,NA,NA,NA,NA,3,996,999,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,600,25,3,1,NA,NA,NA,NA,0,23200,25,NA,NA,NA,2,1,3,1,1000,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,"Yes"
"P","2023HU0414905",1,2,507,1,25,1019518,161,1,NA,4,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,10,1,1,2,1,2,2,1,2,1990,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,16,0,2,0,0,66000,37,52,1,NA,1,26,999,NA,1,NA,1,NA,NA,1,1,9480,90,49,NA,NA,NA,1,1,NA,0,5860,4,66000,66000,25,457,500,25,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0334141",1,2,505,1,25,1019518,108,1,NA,1,NA,NA,2,NA,NA,2,1,1,2,2,2,2,2,0,NA,NA,11,2,1,2,2,1,2,1980,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,19,0,2,0,0,45000,40,52,1,NA,3,996,999,NA,NA,NA,1,NA,NA,1,1,8170,NA,NA,NA,NA,NA,1,1,NA,0,5110,4,45000,45000,25,501,500,25,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023GQ0153880",1,1,402,1,25,1019518,16,5,NA,NA,2,2,NA,NA,NA,2,2,1,2,2,2,2,2,0,NA,NA,NA,1,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,0,3,15,19,0,2,0,0,0,NA,NA,2,2022,1,152,999,8,NA,NA,6,NA,NA,1,1,NA,NA,NA,1278,1,113,6,2,NA,NA,NA,NA,0,0,154,NA,NA,NA,1,2,3,1,1000,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,5,"No"
"P","2023HU0564444",1,2,904,1,25,1019518,246,1,NA,1,1,NA,NA,NA,NA,0,2,2,2,1,2,2,2,0,20,1,1,1,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,2,15,19,0,1,0,0,500,16,24,1,NA,1,336,999,NA,1,NA,1,NA,NA,1,1,7071,182,109,1055,900,25,6,1,NA,0,4120,NA,500,500,12,167,900,25,2,1,3,2,3000,2,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0826105",1,1,902,1,25,1019518,63,1,NA,1,1,2,2,NA,NA,2,2,1,2,2,2,2,2,0,30,1,1,1,1,2,2,1,2,2017,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,21,0,2,0,0,120000,36,52,1,NA,1,210,999,NA,1,NA,1,6107,NA,1,2,7580,220,127,1200,NA,NA,1,1,NA,0,3255,4,120000,120000,48,501,800,25,1,2,4,9,9000,29,0,0,0,0,2,0,1,1,0,2,1,NA,NA,NA,1,"No"
"P","2023HU0458188",1,1,604,1,25,1019518,46,1,NA,7,NA,NA,2,NA,NA,0,1,2,2,2,2,2,2,0,10,1,1,2,1,2,2,1,2,1990,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,18,0,2,0,0,100000,30,52,1,NA,2,51,50,NA,1,NA,1,NA,NA,1,1,8980,90,49,NA,NA,NA,1,1,NA,0,440,4,100000,100000,25,501,600,25,1,2,4,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
"P","2023HU0398019",1,1,201,1,25,1019518,193,1,NA,2,NA,NA,2,NA,NA,2,2,1,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,0,1,NA,14,0,1,8200,3000,500,5,10,NA,NA,4,999,999,NA,NA,NA,3,NA,NA,1,1,8370,NA,NA,NA,NA,NA,6,1,NA,0,4220,NA,500,11700,36,75,NA,NA,1,1,4,1,1000,1,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,1,"No"
