"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
1,"201",193,"1","2","0","0","2","2","2","1","1","1","0",0,"0","2","5","0","0","0","0","1","3","3","3","1","14","1","1","1","1","0","4","999","999","0","0","3","8370","0","0","6","1","0","4220","0","3","4","36","1","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"611",58,"1","1","0","0","2","0","1","2","1","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","18","1","2","2","5","1","2","32","142","0","1","1","4971","92","0","1","1","0","9645","0","4","5","9","6","900","25","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"609",96,"1","2","0","2","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","3","3","3","3","1","22","2","4","3","5","1","2","22","51","0","1","1","8570","55","0","1","1","0","2400","3","5","6","50","6","800","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"902",91,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","4","0","4","25","4","0","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"806",86,"1","5","0","2","0","0","1","2","2","2","1",1,"1","2","5","0","0","0","0","1","3","3","3","1","22","2","3","2","5","1","2","84","261","0","1","1","9370","49","0","6","1","0","2850","4","5","5","36","6","800","25","1","2","3","9","9000","29","0","0","2","1","1","0","1","2","1","No"
2,"703",44,"4","0","0","0","1","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","15","2","0","0","0","2","2","32","171","3","0","6","0","0","0","1","2","0","0","4","0","3","110","4","0","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","0","5","No"
2,"703",100,"1","1","0","2","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","3","21","2","1","1","5","1","3","996","999","0","1","1","8191","37","0","1","1","0","3603","2","4","4","25","1","600","25","1","2","2","8","8000","15","0","0","1","1","0","0","2","1","1","No"
1,"1004",278,"1","1","0","2","2","0","2","2","2","1","1",1,"1","2","5","0","0","0","0","1","3","3","3","1","13","2","2","1","1","1","1","902","999","0","1","1","7580","55","0","6","1","0","3602","3","4","4","25","1","1000","25","2","1","1","2","3000","2","0","1","1","0","0","0","0","0","1","No"
1,"608",77,"1","1","0","0","2","0","1","2","2","2","3",0,"3","2","5","0","0","0","0","1","3","3","3","1","21","1","4","3","5","1","2","148","144","0","0","1","7780","55","0","6","1","0","150","0","5","6","36","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"704",175,"1","1","1","2","0","0","1","2","2","1","0",0,"0","1","5","0","0","0","0","1","2","2","1","2","13","2","0","0","0","2","1","261","999","0","0","3","4971","0","1200","6","1","1","4720","4","0","0","25","1","0","0","1","1","3","8","8000","15","0","0","1","1","0","1","0","0","1","No"
1,"1104",36,"1","0","0","0","2","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","1","3","3","3","1","16","1","0","0","0","0","1","902","999","0","0","6","0","0","0","6","1","-1","0","0","0","0","25","0","0","0","1","2","1","2","3000","2","0","1","1","0","0","-1","0","0","1","No"
1,"704",149,"5","1","1","0","2","0","1","2","2","2","2",1,"1","1","1","2","2","1","2","1","3","3","3","1","22","1","5","2","5","1","1","615","999","7","1","1","6881","67","1450","1","2","0","1021","0","5","6","210","6","800","25","1","2","1","6","4015","4","1","0","1","0","0","0","1","2","4","No"
2,"705",185,"5","0","4","2","0","0","1","2","2","2","0",0,"0","1","1","2","2","1","2","1","2","2","2","1","19","2","0","0","0","2","1","222","999","8","0","6","0","0","1200","1","2","0","0","4","0","0","313","1","0","0","1","2","1","8","8000","15","0","0","1","1","0","0","0","0","3","No"
2,"704",212,"1","1","0","0","0","0","1","2","2","2","1",0,"10","2","5","0","0","0","0","1","3","3","3","1","19","1","1","2","5","1","4","999","999","0","0","1","5392","37","0","6","1","0","4720","0","4","4","25","6","700","25","1","2","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1004",95,"1","0","0","0","1","0","2","2","1","1","0",0,"0","2","1","2","2","2","2","1","2","2","2","1","16","1","0","0","0","2","1","82","999","0","0","6","0","0","0","1","1","0","0","0","0","4","25","2","0","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"503",162,"5","6","4","2","2","0","2","2","2","1","0",0,"11","1","1","2","2","1","2","1","3","3","3","1","16","2","0","2","1","1","1","360","999","8","0","1","8470","0","1210","1","2","0","4600","3","3","3","362","1","500","25","2","1","4","9","9000","29","0","0","2","1","1","0","0","0","3","No"
1,"301",205,"1","1","0","0","0","0","1","2","1","1","0",0,"0","2","5","0","0","0","0","3","3","3","3","2","19","1","1","2","2","0","4","999","999","0","0","3","8590","0","0","6","1","0","4435","0","4","4","25","1","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"610",36,"1","2","0","0","2","0","2","2","1","2","2",0,"2","2","1","2","2","1","2","1","3","3","3","1","19","1","1","1","4","1","2","51","32","0","0","1","7890","122","0","1","1","0","2360","0","3","3","36","1","600","25","2","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"704",52,"1","0","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","2","2","1","3","3","3","1","22","1","0","0","0","0","4","999","999","0","0","6","0","0","0","1","1","0","0","0","0","4","25","3","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"606",52,"1","7","0","2","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","23","2","4","2","5","1","1","490","999","0","1","1","8191","25","0","1","1","0","3090","2","5","6","25","6","600","25","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"507",99,"1","1","0","0","2","0","1","2","2","2","2",1,"1","2","2","2","2","2","2","1","3","3","3","1","20","2","3","2","5","1","1","84","999","0","1","1","8191","43","0","3","1","0","3255","4","5","5","25","6","500","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1103",148,"1","0","0","0","2","0","1","2","1","1","0",0,"0","2","2","2","2","2","2","1","2","2","2","1","20","1","0","0","0","2","1","51","999","0","0","6","0","0","0","3","1","0","0","0","0","0","25","1","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
4,"504",73,"5","0","2","0","2","0","2","2","1","1","0",0,"0","1","1","2","2","1","2","1","3","3","3","1","23","2","0","0","0","0","4","999","999","8","0","6","0","0","5150","2","2","0","0","4","0","0","427","1","0","0","2","1","3","2","3000","2","0","1","1","0","0","0","1","2","6","No"
