"SPORDER","PUMA","PWGTP","CIT","COW","ENG","FER","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MIG","NWAB","NWLA","NWLK","SCH","SCHL","SEX","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MSP","NATIVITY","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","WAOB","Class"
2,"607",85,"1","1","2","2","2","0","1","2","2","2","3",0,"3","1","1","2","2","1","2","1","3","3","3","1","21","2","5","2","5","1","1","706","999","0","0","1","6992","52","2050","1","1","0","4810","4","5","6","25","6","800","25","1","2","3","6","4000","5","1","0","1","0","0","0","2","2","1","No"
1,"402",61,"4","1","0","0","2","0","1","2","1","2","2",1,"1","2","3","2","2","1","2","1","3","3","3","1","16","2","2","2","5","1","1","935","999","2","1","1","5392","135","0","4","2","0","9645","4","4","5","301","5","400","25","1","1","3","1","1000","1","0","0","1","0","1","0","0","0","7","No"
1,"201",14,"1","7","0","0","2","0","2","2","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","1","0","0","0","2","1","22","999","0","0","6","4871","0","0","1","1","0","9620","0","0","3","25","1","0","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"401",47,"1","3","0","0","2","2","1","1","1","2","0",0,"11","2","3","2","2","1","2","1","3","3","3","1","21","2","1","1","3","1","2","935","51","0","0","1","9370","0","0","4","1","0","10","4","3","4","50","3","400","25","1","1","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"806",102,"1","3","0","0","1","0","1","2","2","2","1",1,"1","2","2","2","2","1","2","1","3","3","3","1","20","2","3","2","5","1","2","50","51","0","1","1","7860","49","0","3","1","0","5740","4","5","5","25","5","800","25","1","2","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"805",98,"1","2","0","2","2","0","1","2","2","2","2",0,"3","2","1","2","2","1","2","1","3","3","3","3","22","2","2","3","5","1","2","920","22","0","0","1","7870","55","0","1","1","0","1760","4","4","4","56","6","800","25","1","2","1","9","9000","17","0","0","2","0","1","0","1","2","1","No"
1,"905",49,"1","1","0","0","2","0","1","2","2","2","1",1,"1","2","3","2","2","1","2","1","3","3","3","1","19","2","3","3","5","1","2","94","97","0","1","1","4080","55","0","4","1","0","2634","4","5","5","25","6","900","25","1","2","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"1301",62,"1","1","0","0","1","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","19","2","0","0","0","2","2","142","129","0","0","6","8191","0","0","1","1","0","3255","4","0","4","25","6","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1004",65,"1","6","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","23","1","0","3","5","1","1","935","999","0","1","1","7270","55","0","1","1","0","2100","0","4","4","25","4","1000","25","1","2","1","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"301",22,"1","2","0","2","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","22","2","3","2","5","1","1","615","999","0","0","1","8090","0","0","1","1","0","1105","4","5","5","25","6","290","25","1","2","4","6","4015","4","1","0","1","0","0","0","1","2","1","No"
1,"609",131,"5","0","4","0","1","2","2","1","2","2","0",0,"0","1","1","2","2","1","2","1","2","2","2","1","1","1","0","0","0","2","1","795","999","6","0","6","0","0","1970","1","2","0","0","0","0","3","207","1","0","0","1","2","3","6","4000","5","1","0","1","0","0","0","0","0","4","No"
1,"1103",125,"1","7","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","21","2","3","2","5","1","1","425","999","0","0","1","6481","0","0","1","1","0","440","4","5","5","11","6","1100","25","1","2","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"611",49,"1","2","0","0","2","2","2","1","1","2","0",0,"11","2","1","2","2","2","2","1","3","3","3","1","24","1","2","1","5","1","1","22","999","0","0","1","8561","0","0","1","1","0","440","0","4","6","36","6","600","25","1","1","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"905",160,"2","1","1","2","0","0","2","2","2","1","1",2,"1","1","5","0","0","0","0","1","3","3","3","3","20","2","1","2","1","1","1","261","999","7","2","1","7590","43","1200","6","1","0","5740","4","3","3","72","1","900","25","2","1","3","9","9000","29","0","0","2","1","1","0","0","0","2","No"
2,"403",118,"1","7","0","0","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","1","0","0","0","2","2","271","939","0","0","6","5371","0","0","1","1","0","4700","0","0","3","12","5","0","0","1","2","1","9","9000","29","0","0","2","1","1","0","1","2","1","No"
5,"602",162,"5","1","3","0","2","0","1","2","2","2","3",1,"1","1","1","2","2","1","2","1","3","3","3","1","19","1","2","2","5","1","1","235","999","7","1","1","770","43","1200","2","2","0","6260","0","4","4","365","4","290","33","1","2","3","8","8000","15","0","0","1","1","0","0","0","0","3","No"
2,"1301",128,"1","6","0","0","2","1","2","1","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","19","2","0","2","2","1","1","32","999","0","1","1","770","55","0","1","1","0","6410","4","4","4","34","3","1290","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
3,"1001",148,"1","1","0","2","0","0","1","2","2","2","1",1,"1","2","5","0","0","0","0","1","3","3","3","2","16","2","1","1","1","1","2","50","22","0","1","1","8680","48","0","6","1","0","4110","4","3","3","25","6","1000","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"802",72,"1","1","0","0","2","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","1","3","3","3","1","24","1","3","3","5","1","2","142","190","0","0","1","7870","0","0","6","1","0","1760","0","5","5","12","6","800","25","1","2","2","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"201",71,"1","3","0","0","2","0","1","2","1","2","1",1,"1","2","1","2","2","1","2","1","3","3","3","1","22","2","2","2","5","1","2","50","22","0","1","1","7860","55","0","1","1","0","2320","4","4","4","25","3","290","25","1","1","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"610",56,"1","7","0","0","2","0","1","2","2","2","3",0,"9","2","1","2","2","1","2","1","3","3","3","1","22","1","3","3","5","1","1","50","999","0","0","1","7390","61","0","1","1","0","710","0","5","5","34","6","600","25","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"505",131,"4","1","1","0","2","0","1","2","2","2","3",1,"1","1","1","2","2","1","2","1","3","3","3","1","21","1","3","2","5","1","1","100","999","7","1","1","770","3","1242","1","2","0","5140","0","5","5","100","6","600","25","1","2","3","1","1000","1","0","0","1","0","1","0","2","2","5","No"
4,"701",51,"1","1","0","0","0","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","1","2","2","2","2","14","1","1","1","1","2","2","94","935","0","0","6","8670","0","0","6","1","1","4251","0","3","3","25","6","0","0","1","2","3","1","1000","1","0","0","1","0","1","1","0","0","1","No"
2,"1301",229,"1","3","0","0","2","0","1","2","2","2","1",1,"1","2","1","2","2","2","2","1","3","3","3","1","21","2","3","2","4","1","1","51","999","0","1","1","7860","55","0","1","1","0","230","2","5","5","36","2","1290","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
3,"201",24,"1","0","0","0","0","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","1","2","2","2","2","14","1","0","0","0","2","2","26","50","0","0","6","0","0","0","6","1","1","0","0","0","0","25","6","0","0","1","2","1","1","1000","1","0","0","1","0","1","1","0","0","1","No"
3,"803",97,"1","1","0","0","0","0","1","2","2","2","3",1,"1","2","5","0","0","0","0","1","2","2","1","1","21","1","3","3","5","1","1","82","999","0","1","1","7380","31","0","6","1","0","5240","0","5","5","25","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"1103",55,"1","0","0","0","2","0","2","2","1","2","0",0,"0","2","1","2","2","2","2","1","3","3","3","1","16","2","0","0","0","0","4","999","999","0","0","6","0","0","0","1","1","0","0","4","0","4","34","6","0","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"611",32,"1","1","1","0","2","0","1","2","2","2","2",1,"1","1","3","2","2","1","2","1","3","3","3","1","22","2","5","2","5","1","4","999","999","0","1","1","7460","49","1170","4","1","0","350","2","5","6","34","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"1004",143,"1","1","0","2","2","0","2","2","2","1","2",1,"1","2","5","0","0","0","0","1","2","2","1","1","21","2","1","2","5","1","3","996","999","0","1","1","8370","49","0","6","1","0","3603","4","4","4","25","1","1000","25","2","1","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"905",44,"1","6","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","19","2","0","2","5","1","2","50","22","0","0","1","7370","0","0","1","1","0","2600","4","5","5","34","6","900","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"403",95,"1","0","0","0","2","2","1","1","1","2","0",0,"0","2","1","2","2","2","2","1","2","2","2","1","19","2","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","4","0","5","25","6","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1102",79,"1","1","0","0","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","1","19","1","5","2","5","1","1","22","999","0","1","1","7270","33","0","1","1","0","440","0","5","6","25","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1102",89,"1","1","0","2","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","2","2","2","5","1","2","50","89","0","1","1","6871","47","0","1","1","0","800","2","4","4","25","6","900","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"801",11,"1","1","0","0","0","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","1","3","3","3","3","19","1","1","2","4","1","1","706","999","0","0","1","7890","0","0","6","1","-1","2350","0","4","4","15","0","800","25","1","2","1","6","4000","5","1","0","1","0","0","-1","0","0","1","No"
2,"904",61,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","4","0","4","25","4","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"901",47,"1","1","0","0","2","0","1","2","1","2","2",1,"1","2","1","2","2","2","2","1","3","3","3","1","21","1","4","2","5","1","4","999","999","0","1","1","7680","49","0","1","1","0","1410","0","5","6","25","6","600","25","1","1","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"506",107,"1","0","0","2","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","16","2","0","0","0","2","4","999","999","0","0","6","0","0","0","1","1","0","0","2","0","0","25","6","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"604",54,"1","8","0","0","2","0","1","2","1","2","0",0,"0","2","5","0","0","0","0","1","2","2","2","1","21","1","5","3","3","2","2","87","32","0","0","6","7380","0","0","6","1","0","440","0","5","6","42","6","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"507",74,"1","1","0","0","2","0","2","2","2","1","2",1,"1","2","5","0","0","0","0","1","3","3","3","1","16","1","1","1","5","1","1","22","999","0","1","1","8680","112","0","6","1","0","9130","0","3","4","25","3","500","25","2","1","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1301",196,"1","0","0","0","2","2","2","1","1","2","0",0,"0","2","2","2","2","3","2","1","2","2","2","1","16","2","0","0","0","2","1","22","999","0","0","6","0","0","0","3","1","0","0","4","0","4","33","3","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"704",91,"1","5","0","0","2","0","1","2","2","2","1",1,"1","2","3","2","2","1","2","1","2","2","2","1","19","1","3","3","5","1","2","50","22","0","1","1","6370","46","0","4","1","0","5550","0","5","5","25","6","700","25","1","2","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"609",104,"4","1","2","0","2","2","2","1","1","2","0",0,"0","1","2","2","2","1","2","1","2","2","2","1","21","2","0","0","0","2","1","100","999","6","0","6","8191","0","1242","3","2","0","4720","4","0","4","100","2","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","2","2","5","No"
2,"1104",54,"1","1","0","0","2","0","1","2","2","2","4",1,"1","2","1","2","1","1","2","1","3","3","3","1","16","1","3","2","5","1","1","425","995","0","1","1","770","17","0","1","1","0","6230","0","5","5","25","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"1201",44,"1","1","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","19","1","0","0","0","2","1","50","999","0","0","6","4871","0","0","1","1","0","4760","0","0","4","25","3","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","Yes"
2,"1002",56,"1","2","0","0","0","0","1","2","2","2","2",1,"1","2","5","0","0","0","0","1","3","3","3","1","16","1","2","2","4","1","2","336","939","0","1","1","3490","88","0","6","1","0","8800","0","4","4","25","5","1000","25","1","2","3","2","3000","2","0","1","1","0","0","0","0","0","1","No"
1,"902",82,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","3","2","2","2","2","1","2","2","2","1","21","2","0","0","0","2","1","924","999","0","0","6","0","0","0","4","1","0","0","4","0","4","42","2","0","0","2","1","2","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"601",62,"1","2","0","2","2","0","1","2","2","2","2",1,"1","2","5","0","0","0","0","1","3","3","3","3","21","2","4","2","5","1","2","26","142","0","1","1","8191","37","0","6","1","0","3255","4","5","6","25","6","600","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","1","1","No"
2,"201",15,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","2","2","1","2","2","2","1","21","2","0","0","0","2","2","50","26","0","0","6","0","0","0","1","1","0","0","4","0","0","25","4","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","2","1","1","No"
3,"903",91,"4","2","0","2","0","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","3","3","3","3","2","19","2","1","1","5","0","4","999","999","7","0","1","7970","0","0","6","2","0","3645","4","4","4","217","5","900","25","1","2","4","6","4000","5","1","0","1","0","0","0","0","0","4","No"
1,"803",58,"1","1","0","0","0","0","1","2","2","2","0",0,"11","2","5","0","0","0","0","3","3","3","3","1","21","1","4","3","5","1","2","32","50","0","0","1","7380","0","0","6","1","0","845","0","5","6","53","6","800","25","1","2","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"401",51,"1","0","0","0","2","2","2","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","23","1","0","0","0","2","2","142","935","0","0","6","0","0","0","1","1","0","0","0","0","6","25","6","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"901",389,"1","3","0","0","2","0","1","2","1","2","1",1,"1","2","3","2","2","1","2","1","3","3","3","1","18","2","4","2","5","1","1","50","999","0","1","1","9370","55","0","4","1","0","640","4","5","6","25","6","900","25","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"506",69,"1","7","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","1","5","3","5","1","1","50","999","0","1","1","3390","61","0","1","1","0","4850","0","5","6","25","6","600","25","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"506",55,"1","1","0","0","2","2","1","1","1","2","0",0,"0","2","1","2","2","1","2","1","3","2","2","1","21","1","1","2","3","2","1","32","999","0","0","6","8891","0","0","1","1","0","7240","0","4","4","25","6","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"1004",172,"1","1","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","19","1","3","3","5","1","1","26","999","0","1","1","8090","37","0","1","1","0","7020","0","5","5","25","6","1000","25","1","2","3","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"100",35,"1","1","0","0","2","0","2","2","1","2","1",1,"1","2","3","2","2","1","2","1","2","2","2","1","16","2","1","1","5","1","1","939","999","0","1","1","5481","55","0","4","1","0","5120","4","3","4","25","6","100","25","2","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"703",117,"1","1","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","1","3","2","5","1","2","32","88","0","1","1","8590","25","0","1","1","0","2722","0","5","5","25","6","290","33","1","2","4","1","1000","1","0","0","1","0","1","0","2","2","1","No"
3,"1001",97,"1","1","0","2","0","2","2","1","2","2","1",2,"1","2","5","0","0","0","0","1","3","3","3","2","15","2","1","1","3","1","2","84","142","0","2","1","8680","127","0","6","1","1","4055","4","3","3","25","6","1000","25","1","2","2","1","1000","1","0","0","1","0","1","1","0","0","1","No"
1,"1301",113,"1","6","0","0","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","24","1","0","0","0","2","2","50","32","0","0","6","7980","0","0","1","1","0","3010","0","0","4","25","4","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"611",47,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","2","2","1","2","2","2","1","18","1","0","0","0","2","1","50","999","0","0","6","0","0","0","1","1","0","0","0","0","4","25","1","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"607",41,"1","6","0","0","2","2","2","1","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","1","0","3","5","1","1","51","999","0","1","1","3895","61","0","1","1","0","4850","0","5","6","25","6","600","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"301",89,"4","2","1","2","0","0","1","2","2","2","0",0,"0","1","5","0","0","0","0","3","3","3","3","2","18","2","1","1","1","0","4","999","999","7","0","6","7890","0","1350","6","2","-1","2002","0","3","3","210","0","0","0","1","2","2","6","4025","76","1","0","1","0","0","-1","0","0","4","No"
1,"702",41,"1","1","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","21","1","5","3","5","1","2","50","32","0","0","1","8660","0","0","1","1","0","52","0","5","6","34","6","700","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"612",33,"5","2","1","0","2","0","1","2","1","2","0",0,"0","1","1","2","2","1","2","3","2","2","2","1","24","1","0","0","0","2","1","740","999","5","0","6","7870","0","2560","1","2","0","2205","0","0","6","215","6","0","0","1","1","2","6","4002","7","1","0","1","0","0","0","2","1","4","No"
2,"201",16,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","19","1","0","0","0","2","1","22","999","0","0","6","0","0","0","1","1","0","0","0","0","4","25","6","0","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"603",70,"1","1","0","0","2","0","2","2","1","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","16","1","5","3","5","1","4","999","999","0","1","1","7970","25","0","2","1","0","3545","0","5","6","25","6","600","25","2","1","2","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"805",144,"4","7","2","0","2","0","2","2","2","1","2",2,"1","1","1","2","2","1","2","1","3","3","3","1","16","2","2","3","5","1","1","785","999","5","2","1","8980","79","1960","1","2","0","440","4","4","4","247","6","1100","25","2","1","3","6","4014","9","1","0","1","0","0","0","0","0","4","No"
1,"701",70,"1","6","0","0","2","0","1","2","2","2","1",1,"1","2","4","2","2","1","2","1","3","3","3","1","18","1","0","2","5","0","4","999","999","0","1","1","770","126","0","5","1","0","6410","0","3","5","25","5","700","25","1","2","4","1","1000","1","0","0","1","0","1","0","0","0","1","No"
1,"802",29,"1","1","0","2","0","0","1","2","2","2","2",0,"10","2","5","0","0","0","0","3","3","3","3","3","21","2","4","2","5","1","1","750","999","0","0","1","6970","64","0","6","1","0","120","4","5","6","13","6","800","25","1","2","2","6","4003","8","1","0","1","0","0","0","1","2","1","No"
1,"703",128,"1","1","0","2","0","2","2","1","2","2","2",1,"1","2","5","0","0","0","0","1","3","3","3","1","21","2","3","2","5","1","1","51","999","0","1","1","6970","61","0","6","1","0","850","4","5","5","25","6","700","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"613",95,"1","0","0","0","2","0","2","2","1","2","0",0,"0","2","2","2","2","1","2","3","2","2","2","1","16","1","0","0","0","2","3","996","999","0","0","6","0","0","0","3","1","-1","0","0","0","4","9","3","0","0","2","1","4","1","1000","1","0","0","1","0","1","-1","0","0","1","No"
1,"905",286,"1","0","0","0","2","0","1","2","1","2","0",0,"0","2","2","2","2","2","2","1","2","2","2","1","16","1","0","0","0","2","1","89","999","0","0","6","0","0","0","3","1","0","0","0","0","4","25","2","0","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","0","1","No"
2,"702",140,"2","0","3","0","2","0","2","2","2","1","0",0,"0","1","5","0","0","0","0","1","2","2","2","1","16","1","0","0","0","2","1","261","999","7","0","6","0","0","1200","6","1","0","0","0","0","4","72","1","0","0","2","1","2","9","9000","29","0","0","2","1","1","0","0","0","2","Yes"
2,"611",48,"5","5","3","2","2","2","2","1","2","2","0",0,"0","1","1","2","2","1","2","2","2","2","2","1","21","2","0","0","0","2","1","740","999","8","0","6","9370","0","2560","1","2","0","5740","1","0","0","215","4","0","0","1","2","3","6","4002","7","1","0","1","0","0","0","1","2","4","No"
1,"401",13,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","5","0","0","0","0","1","3","3","3","1","16","2","0","0","0","0","1","939","999","0","0","6","0","0","0","6","1","-1","0","0","0","4","25","0","0","0","2","1","4","1","1000","1","0","0","1","0","1","-1","0","0","1","Yes"
3,"902",84,"1","1","0","0","0","0","1","2","2","2","1",1,"1","2","5","0","0","0","0","1","3","3","3","2","13","1","1","1","2","1","2","32","3","0","1","1","8680","85","0","6","1","1","4110","0","3","3","25","6","900","25","1","2","4","1","1000","1","0","0","1","0","1","1","0","0","1","No"
4,"1301",116,"1","0","0","2","0","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","1","0","0","0","2","12","2","0","0","0","0","2","51","50","0","0","0","0","0","0","6","1","0","0","0","0","3","25","6","0","0","1","2","2","1","1000","1","0","0","1","0","1","1","0","0","1","No"
1,"605",19,"1","0","0","0","2","0","2","2","1","1","0",0,"0","2","5","0","0","0","0","1","2","2","2","1","1","1","0","0","0","2","3","996","999","0","0","6","0","0","0","6","1","-1","0","0","0","4","25","1","0","0","2","1","3","1","1000","1","0","0","1","0","1","-1","0","0","1","Yes"
2,"1301",74,"1","6","0","0","2","0","2","2","1","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","22","1","3","2","4","1","1","50","999","0","1","1","7071","61","0","1","1","0","800","0","5","6","48","6","1290","25","2","1","4","1","1000","1","0","0","1","0","1","0","1","2","1","No"
2,"903",237,"1","1","0","0","0","0","1","2","2","2","2",1,"1","2","5","0","0","0","0","3","3","3","3","1","21","1","3","2","5","1","4","999","999","0","1","1","7470","55","0","6","1","0","51","0","5","5","25","4","900","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"1102",53,"1","1","0","2","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","21","2","4","3","5","1","3","996","999","0","0","1","6991","0","0","1","1","0","4840","2","5","6","25","6","1100","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"1301",90,"1","1","0","0","2","0","2","2","1","2","0",0,"0","2","1","2","2","2","2","1","3","3","2","1","21","1","0","0","0","2","1","185","999","0","0","6","6992","0","0","1","1","0","4810","0","0","3","25","1","0","0","2","1","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"804",41,"1","3","0","1","0","0","2","2","2","1","0",0,"0","2","5","0","0","0","0","1","2","2","2","2","16","2","0","0","0","2","1","902","999","0","0","6","5071","0","0","6","1","0","3421","4","0","0","25","5","0","0","2","1","1","2","3000","2","0","1","1","0","0","0","0","0","1","No"
1,"604",87,"1","1","0","0","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","1","24","1","5","4","5","1","2","142","148","0","1","1","7870","16","0","1","1","0","2205","0","5","6","36","6","600","25","1","2","1","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"704",55,"1","1","0","0","0","0","2","2","2","1","0",0,"0","2","5","0","0","0","0","3","3","3","3","1","13","1","0","0","0","0","1","902","999","0","0","6","5392","0","0","6","1","-1","7315","0","0","0","36","0","0","0","2","1","1","2","3000","2","0","1","1","0","0","-1","0","0","1","No"
1,"506",58,"1","4","0","0","2","0","1","2","2","2","3",1,"1","2","1","2","2","2","2","1","3","3","3","1","21","2","3","2","5","1","1","50","999","0","1","1","9480","34","0","2","1","0","1980","4","5","5","20","6","600","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","1","1","No"
1,"1104",42,"4","1","1","0","2","0","1","2","2","2","2",1,"1","1","1","2","2","1","2","1","3","3","3","1","21","2","2","2","5","1","1","615","999","7","1","1","8290","61","1350","1","2","0","3150","4","4","4","210","4","1290","25","1","2","4","6","4015","4","1","0","1","0","0","0","2","2","4","No"
2,"1201",142,"1","1","0","0","2","0","1","2","2","2","2",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","1","5","2","5","1","1","924","999","0","1","1","4991","35","0","1","1","0","4760","0","5","6","36","6","1290","25","1","2","2","1","1000","1","0","0","1","0","1","0","2","2","1","No"
2,"604",56,"1","3","0","0","2","0","1","2","2","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","22","1","0","0","0","2","1","50","999","0","0","6","7860","0","0","1","1","0","230","0","0","6","25","6","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","1","2","1","No"
1,"613",52,"1","1","0","2","0","0","1","2","2","2","0",0,"0","2","5","0","0","0","0","3","2","2","2","3","18","2","1","1","2","2","1","50","999","0","0","6","8270","0","0","6","1","-1","3603","0","3","3","33","0","0","0","1","2","3","1","1000","1","0","0","1","0","1","-1","0","0","1","No"
1,"1002",80,"1","1","0","0","2","0","1","2","2","2","3",1,"1","2","1","2","2","1","2","1","3","3","3","1","21","1","4","3","5","1","2","50","939","0","1","1","3580","31","0","1","1","0","440","0","5","6","25","6","900","25","1","2","1","1","1000","1","0","0","1","0","1","0","2","2","1","No"
1,"601",48,"1","0","0","0","2","2","1","1","1","2","0",0,"0","2","1","2","2","1","2","1","2","2","2","1","21","1","0","0","0","2","1","935","999","0","0","6","0","0","0","1","1","0","0","0","0","6","25","6","0","0","1","1","2","1","1000","1","0","0","1","0","1","0","2","1","1","No"
1,"702",50,"1","6","0","0","2","0","1","2","2","2","0",0,"11","2","1","2","2","1","2","1","3","3","3","1","23","1","0","3","5","1","2","51","939","0","0","1","7270","0","0","1","1","0","2100","0","5","6","25","6","700","25","1","2","3","1","1000","1","0","0","1","0","1","0","2","2","1","No"
